,date_2,admin1Pcod_2,admin1Name_2,trip_num,tour_num,id_num,tour_traj_distance_1,tour_traj_distance_2,trip_traj_distance_1,trip_traj_distance_2,time_range,date,trip_miles/person,miles/person,minutes/trip,minutes/person,trips/person,admin1Name_2.1,admin1_inflow_trip_count,id_num.1,trip_distance_sum,admin1_inflow_trips_per_person,admin1_inflow_trip_miles_per_person,admin1Name_2.2,admin1_inbound_admin2_crossbound_trip_count,id_num.2,trip_distance_sum.1,admin1_inbound_admin2_crossbound_trips_per_person,admin1_inbound_admin2_crossbound_trip_miles_per_person,admin1Name_2.3,admin2_inbound_trip_count,id_num.3,trip_distance_sum.2,admin2_inbound_trips_per_person,admin2_inbound_trip_miles_per_person,0_14_pct,15_64_pct,65p_pct,M_pct,Population,sample_rate_2,rwi,rwi_pctl,new_cases,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5,date_2_index
25,2020-01-03,ZA1,Western Cape,176453,74047,37128,28390063060.08558,28390088631.72686,2885060744.6751285,2885060744.6751285,557046753,20200103,48.28414228064844,475.1337893594719,52.61521509977161,250.05689910579616,4.75255871579401,Western Cape,850.0,835.0,634093551.2192998,1.0179640718562877,471.8652286360973,Western Cape,7688.0,4821.0,854107263.0117787,1.5946898983613358,110.08455679655572,Western Cape,167834.0,35879.0,1395946315.528838,4.677778087460632,24.17572469632564,0.2414643088100414,0.6902282722160927,0.0683074189738658,0.4994387746892386,6898299.0,0.0053821963936326,0.4849515672799264,0.8888888888888888,0.0,0,0,0,1,0,0,0,0,0,2 days
26,2020-01-03,ZA4,Free State,28473,13574,6763,3902202989.1480384,3902162979.468598,879001459.3300238,879001459.3300238,107575220,20200103,80.76093224342057,358.5267667779099,62.9691403551903,265.107250234117,4.210113854798166,Free State,2282.0,2089.0,616798580.8389323,1.0923887027285784,183.4661893471436,Free State,590.0,399.0,83796354.60583027,1.4786967418546366,130.49784653274978,Free State,25601.0,5387.0,178406523.88526142,4.7523668089845925,20.57855475208897,0.2811459389976806,0.6555271573171474,0.0633269036851719,0.4905192097314189,2663702.0,0.0025389476750777,0.2248492570676798,0.7777777777777778,0.0,0,0,0,1,0,0,0,0,0,2 days
27,2020-01-03,ZA8,Mpumalanga,31765,14403,7287,3585701273.2434187,3585714983.071758,647286068.0881548,647286068.0881548,121149600,20200103,55.19485602395401,305.7570296640853,63.565559578152055,277.0907094826404,4.359132702072183,Mpumalanga,1317.0,1259.0,298775296.6141774,1.0460683081810962,147.45858798110763,Mpumalanga,517.0,376.0,67393391.72174805,1.375,111.37317064643686,Mpumalanga,29931.0,6537.0,281117379.7522288,4.578705828361634,26.72146878006391,0.3021978541526616,0.6444398558234767,0.0533622900238615,0.4955341209781855,4547481.0,0.001602425606616,0.0523010419666447,0.4444444444444444,0.0,0,0,0,1,0,0,0,0,0,2 days
28,2020-01-03,ZA2,Eastern Cape,42450,18574,9695,7420212075.080008,7420152725.296899,830536585.1472257,830536585.1472257,164685445,20200103,53.23068675705576,475.5756600047784,64.65859638790734,283.1106154375108,4.378545642083548,Eastern Cape,828.0,809.0,296724062.302897,1.023485784919654,227.90579030736225,Eastern Cape,1819.0,1161.0,208132114.7674588,1.566752799310939,111.3930235107093,Eastern Cape,39785.0,8904.0,325609467.4414683,4.468216531895777,22.72285972460338,0.3224085890309294,0.600977358291188,0.0766140526778824,0.4755901564412202,6510816.0,0.0014890606645925,-0.0466675482737358,0.2222222222222222,0.0,0,0,0,1,0,0,0,0,0,2 days
29,2020-01-03,ZA9,Limpopo,24093,10969,5514,2360319127.609174,2360219124.5354986,395618091.5221404,395618091.5221404,105143465,20200103,44.58209742469551,265.9837342007792,72.73444914843869,317.807595816709,4.369423286180632,Limpopo,696.0,661.0,141952138.62189323,1.0529500756429653,133.44170895026488,Limpopo,530.0,357.0,59833504.128098,1.484593837535014,104.14234116474424,Limpopo,22867.0,5124.0,193832448.7721492,4.462724434035909,23.50544492346454,0.3322212084583728,0.5982309127294063,0.0695478788122209,0.4710748930256002,5527257.0,0.0009976015227806,-0.0202992168756396,0.3333333333333333,0.0,0,0,0,1,0,0,0,0,0,2 days
30,2020-01-04,ZA3,Nothern Cape,7311,3752,2128,1843091397.7093685,1843107273.25168,348341484.99619305,348341484.99619305,41919411,20200104,101.7149266155112,538.1785240587615,95.56241964163588,328.31618890977444,3.4356203007518795,Nothern Cape,594.0,578.0,247366880.81907865,1.027681660899654,265.9284665304176,Nothern Cape,165.0,139.0,41942967.17014438,1.1870503597122302,187.49749292434512,Nothern Cape,6551.0,1704.0,58404933.23082269,3.8444835680751175,21.29761912803884,0.2905180543789262,0.6449880916225764,0.0644938539984974,0.5008080113808923,1251220.0,0.0017007400776841,0.0995845672339362,0.6666666666666666,0.0,0,0,0,1,0,0,0,0,0,3 days
32,2020-01-04,ZA4,Free State,25446,12606,6575,3531191793.619728,3531201146.827528,819329806.8335133,819329806.8335133,109221185,20200104,77.43086523311402,333.7157193642859,71.53788742172968,276.8597845373891,3.870114068441064,Free State,2106.0,1961.0,567257309.1833988,1.073941866394697,179.7436769569763,Free State,538.0,391.0,83816881.06665824,1.3759590792838874,133.20049953453776,Free State,22802.0,5294.0,168255616.5834566,4.307140158670193,19.74861977277865,0.2811459389976806,0.6555271573171474,0.0633269036851719,0.4905192097314189,2663702.0,0.0024683692094686,0.2248492570676798,0.7777777777777778,0.0,0,0,0,1,0,0,0,0,0,3 days
33,2020-01-04,ZA6,North West,23439,11235,6132,2352318173.1523857,2352362739.310456,460500292.3486005,460500292.3486005,93951265,20200104,46.66366857180214,238.36639722329508,66.80551289161937,255.3578631224179,3.822407045009785,North West,2023.0,1888.0,268704886.4337749,1.0715042372881356,88.43510362465685,North West,184.0,129.0,28350298.038551766,1.426356589147287,136.5585929651059,North West,21232.0,5274.0,163445107.87627387,4.0257868790292,19.25674659583617,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.0015780274348253,-0.0467738815769532,0.1111111111111111,0.0,0,0,0,1,0,0,0,0,0,3 days
34,2020-01-04,ZA8,Mpumalanga,27867,13226,6881,3063512792.869968,3063524039.980434,531959471.9065468,531959471.9065468,121320548,20200104,48.037246225913904,276.6427258450714,72.55926842980348,293.8539650244635,4.049847405900305,Mpumalanga,1078.0,1035.0,237534409.48201805,1.0415458937198068,142.60583499249532,Mpumalanga,437.0,306.0,53655185.954347886,1.4281045751633987,108.9535518502255,Mpumalanga,26352.0,6282.0,240769876.47018063,4.19484240687679,23.81526029880799,0.3021978541526616,0.6444398558234767,0.0533622900238615,0.4955341209781855,4547481.0,0.0015131454095135,0.0523010419666447,0.4444444444444444,0.0,0,0,0,1,0,0,0,0,0,3 days
35,2020-01-04,ZA7,Gauteng,243153,116655,55531,15868493797.732937,15867921366.947865,4204766753.664136,4204766753.664136,796005689,20200104,47.04977275403268,177.56253102065608,54.56137281190581,238.90730372824788,4.378689380706272,Gauteng,5972.0,5640.0,2064681570.458466,1.0588652482269505,227.4705051464944,Gauteng,22037.0,10977.0,750362835.1403695,2.007561264462057,42.47552605281566,Gauteng,215144.0,50835.0,1389722348.0653071,4.232202222877938,16.986985980057188,0.2270393688635094,0.7223349844212468,0.0506256467152438,0.5123439321519871,14760167.0,0.0037622203055019,0.6706237180439658,1.0,0.0,0,0,0,1,0,0,0,0,0,3 days
