"","Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate","","date_2"
"3207","l22.log.admin2_inbound_trip_count.per1M","rwi",1.2648,0.1034,29,12.2373,0,0.5551,"***",2020-06-19
"3208","l22.log.admin2_inbound_trip_count.per1M","X65p_pct",5.8645,2.9244,29,2.0054,0.0543,0.0839,"",2020-06-19
"3209","l22.log.admin2_inbound_trip_count.per1M","M_pct",3.9513,1.5334,29,2.5769,0.0153,0.1091,"*",2020-06-19
"3210","l22.log.admin2_inbound_trip_count.per1M","l22.weekend",-0.3209,0.0144,1041,-22.2413,0,-0.2665,"***",2020-06-19
"3211","log.new_cases.per1M","(Intercept)",-2.3149,2.8383,1066,-0.8156,0.4149,0,"",2020-06-20
"3212","log.new_cases.per1M","l3.log.admin1_inflow_trip_count.per1M",-0.095,0.0453,1066,-2.0948,0.0364,-0.0841,"*",2020-06-20
"3213","log.new_cases.per1M","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M",-0.1341,0.0666,1066,-2.013,0.0444,-0.1238,"*",2020-06-20
"3214","log.new_cases.per1M","l22.log.admin2_inbound_trip_count.per1M",0.4536,0.0507,1066,8.9479,0,0.2287,"***",2020-06-20
"3215","log.new_cases.per1M","l1.log.new_cases.per1M",0.8219,0.0151,1066,54.2986,0,0.8279,"***",2020-06-20
"3216","log.new_cases.per1M","weekend",-0.0496,0.0316,1066,-1.5699,0.1167,-0.0209,"",2020-06-20
"3217","log.new_cases.per1M","rwi",-0.3119,0.4234,5,-0.7367,0.4944,-0.069,"",2020-06-20
"3218","log.new_cases.per1M","X65p_pct",-5.0344,9.5588,5,-0.5267,0.6209,-0.0363,"",2020-06-20
"3219","log.new_cases.per1M","M_pct",1.3664,5.319,5,0.2569,0.8075,0.019,"",2020-06-20
"3220","l3.log.admin1_inflow_trip_count.per1M","(Intercept)",-6.7266,3.498,1050,-1.923,0.0547,0,"",2020-06-20
"3221","l3.log.admin1_inflow_trip_count.per1M","l4.MA7.log.new_cases.per1M",0.0487,0.0143,1050,3.397,7e-04,0.037,"***",2020-06-20
"3222","l3.log.admin1_inflow_trip_count.per1M","l4.log.admin1_inflow_trip_count.per1M",0.4393,0.0276,1050,15.8884,0,0.4385,"***",2020-06-20
"3223","l3.log.admin1_inflow_trip_count.per1M","rwi",-0.7826,0.3956,21,-1.9783,0.0612,-0.1955,"",2020-06-20
"3224","l3.log.admin1_inflow_trip_count.per1M","X65p_pct",-17.1534,12.2393,21,-1.4015,0.1757,-0.1396,"",2020-06-20
"3225","l3.log.admin1_inflow_trip_count.per1M","M_pct",20.7669,6.4736,21,3.2079,0.0042,0.3262,"**",2020-06-20
"3226","l3.log.admin1_inflow_trip_count.per1M","l3.weekend",-0.0872,0.0165,1050,-5.2755,0,-0.0412,"***",2020-06-20
"3227","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","(Intercept)",6.6484,1.5458,1050,4.3009,0,0,"***",2020-06-20
"3228","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.MA7.log.new_cases.per1M",0.0509,0.0077,1050,6.6484,0,0.042,"***",2020-06-20
"3229","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.log.admin1_inbound_admin2_crossbound_trip_count.per1M",0.3905,0.0282,1050,13.8268,0,0.3904,"***",2020-06-20
"3230","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","rwi",2.5958,0.2091,21,12.4114,0,0.622,"***",2020-06-20
"3231","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","X65p_pct",-0.169,5.3136,21,-0.0318,0.9749,-0.0013,"",2020-06-20
"3232","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","M_pct",-8.6364,2.8087,21,-3.0749,0.0057,-0.1301,"**",2020-06-20
"3233","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l16.weekend",-0.0657,0.0124,1050,-5.3122,0,-0.0298,"***",2020-06-20
"3234","l22.log.admin2_inbound_trip_count.per1M","(Intercept)",3.3471,0.8432,1041,3.9695,1e-04,0,"***",2020-06-20
"3235","l22.log.admin2_inbound_trip_count.per1M","l23.MA7.log.new_cases.per1M",0.051,0.0082,1041,6.2071,0,0.0839,"***",2020-06-20
"3236","l22.log.admin2_inbound_trip_count.per1M","l23.log.admin2_inbound_trip_count.per1M",0.286,0.0242,1041,11.8013,0,0.286,"***",2020-06-20
"3237","l22.log.admin2_inbound_trip_count.per1M","rwi",1.2732,0.1039,29,12.2593,0,0.5587,"***",2020-06-20
"3238","l22.log.admin2_inbound_trip_count.per1M","X65p_pct",5.8231,2.936,29,1.9833,0.0569,0.0833,"",2020-06-20
"3239","l22.log.admin2_inbound_trip_count.per1M","M_pct",3.9138,1.5395,29,2.5423,0.0166,0.108,"*",2020-06-20
"3240","l22.log.admin2_inbound_trip_count.per1M","l22.weekend",-0.3191,0.0145,1041,-22.0824,0,-0.265,"***",2020-06-20
"3241","log.new_cases.per1M","(Intercept)",-2.3186,2.727,1066,-0.8502,0.3954,0,"",2020-06-21
"3242","log.new_cases.per1M","l3.log.admin1_inflow_trip_count.per1M",-0.0855,0.0447,1066,-1.911,0.0563,-0.076,"",2020-06-21
"3243","log.new_cases.per1M","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M",-0.1204,0.0663,1066,-1.8169,0.0695,-0.1117,"",2020-06-21
"3244","log.new_cases.per1M","l22.log.admin2_inbound_trip_count.per1M",0.4644,0.0507,1066,9.1551,0,0.2349,"***",2020-06-21
"3245","log.new_cases.per1M","l1.log.new_cases.per1M",0.8261,0.0153,1066,53.9031,0,0.8294,"***",2020-06-21
"3246","log.new_cases.per1M","weekend",-0.0654,0.0317,1066,-2.0607,0.0396,-0.0277,"*",2020-06-21
"3247","log.new_cases.per1M","rwi",-0.3831,0.4134,5,-0.9266,0.3967,-0.0851,"",2020-06-21
"3248","log.new_cases.per1M","X65p_pct",-5.2196,9.1621,5,-0.5697,0.5935,-0.0378,"",2020-06-21
"3249","log.new_cases.per1M","M_pct",0.9875,5.1139,5,0.1931,0.8545,0.0138,"",2020-06-21
"3250","l3.log.admin1_inflow_trip_count.per1M","(Intercept)",-6.6719,3.4825,1050,-1.9158,0.0557,0,"",2020-06-21
"3251","l3.log.admin1_inflow_trip_count.per1M","l4.MA7.log.new_cases.per1M",0.0521,0.0148,1050,3.5269,4e-04,0.0394,"***",2020-06-21
"3252","l3.log.admin1_inflow_trip_count.per1M","l4.log.admin1_inflow_trip_count.per1M",0.4413,0.0278,1050,15.8489,0,0.4413,"***",2020-06-21
"3253","l3.log.admin1_inflow_trip_count.per1M","rwi",-0.7783,0.3938,21,-1.9762,0.0614,-0.1944,"",2020-06-21
"3254","l3.log.admin1_inflow_trip_count.per1M","X65p_pct",-17.0359,12.1848,21,-1.3981,0.1767,-0.1386,"",2020-06-21
"3255","l3.log.admin1_inflow_trip_count.per1M","M_pct",20.5995,6.4464,21,3.1955,0.0043,0.3236,"**",2020-06-21
"3256","l3.log.admin1_inflow_trip_count.per1M","l3.weekend",-0.0892,0.0165,1050,-5.3944,0,-0.0422,"***",2020-06-21
"3257","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","(Intercept)",6.7456,1.586,1050,4.2532,0,0,"***",2020-06-21
"3258","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.MA7.log.new_cases.per1M",0.0528,0.0079,1050,6.6546,0,0.0427,"***",2020-06-21
"3259","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.log.admin1_inbound_admin2_crossbound_trip_count.per1M",0.3699,0.0279,1050,13.2435,0,0.3698,"***",2020-06-21
"3260","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","rwi",2.6823,0.2122,21,12.6385,0,0.6425,"***",2020-06-21
"3261","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","X65p_pct",-0.0264,5.4581,21,-0.0048,0.9962,-2e-04,"",2020-06-21
"3262","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","M_pct",-8.6771,2.8833,21,-3.0094,0.0067,-0.1307,"**",2020-06-21
"3263","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l16.weekend",-0.0665,0.0124,1050,-5.3467,0,-0.0302,"***",2020-06-21
"3264","l22.log.admin2_inbound_trip_count.per1M","(Intercept)",3.2821,0.83,1041,3.9542,1e-04,0,"***",2020-06-21
"3265","l22.log.admin2_inbound_trip_count.per1M","l23.MA7.log.new_cases.per1M",0.049,0.0082,1041,5.9652,0,0.0793,"***",2020-06-21
"3266","l22.log.admin2_inbound_trip_count.per1M","l23.log.admin2_inbound_trip_count.per1M",0.3077,0.0244,1041,12.6147,0,0.3079,"***",2020-06-21
"3267","l22.log.admin2_inbound_trip_count.per1M","rwi",1.2402,0.1026,29,12.0864,0,0.5447,"***",2020-06-21
"3268","l22.log.admin2_inbound_trip_count.per1M","X65p_pct",5.6919,2.8885,29,1.9706,0.0584,0.0814,"",2020-06-21
"3269","l22.log.admin2_inbound_trip_count.per1M","M_pct",3.7901,1.5144,29,2.5027,0.0182,0.1047,"*",2020-06-21
"3270","l22.log.admin2_inbound_trip_count.per1M","l22.weekend",-0.3174,0.0143,1041,-22.2331,0,-0.2661,"***",2020-06-21
"3271","log.new_cases.per1M","(Intercept)",-2.5044,2.9955,1066,-0.8361,0.4033,0,"",2020-06-22
"3272","log.new_cases.per1M","l3.log.admin1_inflow_trip_count.per1M",-0.1075,0.0452,1066,-2.3798,0.0175,-0.0962,"*",2020-06-22
"3273","log.new_cases.per1M","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M",-0.1339,0.0665,1066,-2.0141,0.0442,-0.1247,"*",2020-06-22
"3274","log.new_cases.per1M","l22.log.admin2_inbound_trip_count.per1M",0.4649,0.0506,1066,9.197,0,0.2361,"***",2020-06-22
"3275","log.new_cases.per1M","l1.log.new_cases.per1M",0.8201,0.0155,1066,53.0055,0,0.8227,"***",2020-06-22
"3276","log.new_cases.per1M","weekend",-0.0548,0.032,1066,-1.7127,0.0871,-0.0231,"",2020-06-22
"3277","log.new_cases.per1M","rwi",-0.3632,0.4369,5,-0.8315,0.4436,-0.0809,"",2020-06-22
"3278","log.new_cases.per1M","X65p_pct",-6.052,10.1407,5,-0.5968,0.5766,-0.0439,"",2020-06-22
"3279","log.new_cases.per1M","M_pct",1.8252,5.6041,5,0.3257,0.7578,0.0256,"",2020-06-22
"3280","l3.log.admin1_inflow_trip_count.per1M","(Intercept)",-6.676,3.5,1050,-1.9075,0.0567,0,"",2020-06-22
"3281","l3.log.admin1_inflow_trip_count.per1M","l4.MA7.log.new_cases.per1M",0.0636,0.0154,1050,4.1373,0,0.0476,"***",2020-06-22
"3282","l3.log.admin1_inflow_trip_count.per1M","l4.log.admin1_inflow_trip_count.per1M",0.4441,0.0279,1050,15.9313,0,0.4428,"***",2020-06-22
"3283","l3.log.admin1_inflow_trip_count.per1M","rwi",-0.7809,0.3958,21,-1.973,0.0618,-0.1945,"",2020-06-22
"3284","l3.log.admin1_inflow_trip_count.per1M","X65p_pct",-16.9414,12.2459,21,-1.3834,0.1811,-0.1375,"",2020-06-22
"3285","l3.log.admin1_inflow_trip_count.per1M","M_pct",20.4922,6.4778,21,3.1635,0.0047,0.321,"**",2020-06-22
"3286","l3.log.admin1_inflow_trip_count.per1M","l3.weekend",-0.093,0.0165,1050,-5.6288,0,-0.0439,"***",2020-06-22
"3287","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","(Intercept)",6.7765,1.6021,1050,4.2298,0,0,"***",2020-06-22
"3288","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.MA7.log.new_cases.per1M",0.0522,0.0083,1050,6.324,0,0.0416,"***",2020-06-22
"3289","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.log.admin1_inbound_admin2_crossbound_trip_count.per1M",0.3677,0.0284,1050,12.9668,0,0.3674,"***",2020-06-22
"3290","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","rwi",2.7011,0.2148,21,12.5764,0,0.6465,"***",2020-06-22
"3291","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","X65p_pct",0.1581,5.5154,21,0.0287,0.9774,0.0012,"",2020-06-22
"3292","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","M_pct",-8.759,2.9131,21,-3.0067,0.0067,-0.1318,"**",2020-06-22
"3293","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l16.weekend",-0.0775,0.0125,1050,-6.1929,0,-0.0354,"***",2020-06-22
"3294","l22.log.admin2_inbound_trip_count.per1M","(Intercept)",3.2756,0.8535,1041,3.838,1e-04,0,"***",2020-06-22
"3295","l22.log.admin2_inbound_trip_count.per1M","l23.MA7.log.new_cases.per1M",0.0531,0.0081,1041,6.5845,0,0.0844,"***",2020-06-22
"3296","l22.log.admin2_inbound_trip_count.per1M","l23.log.admin2_inbound_trip_count.per1M",0.3,0.0239,1041,12.5596,0,0.2998,"***",2020-06-22
"3297","l22.log.admin2_inbound_trip_count.per1M","rwi",1.2535,0.1048,29,11.9655,0,0.5501,"***",2020-06-22
"3298","l22.log.admin2_inbound_trip_count.per1M","X65p_pct",5.9311,2.9707,29,1.9965,0.0553,0.0848,"",2020-06-22
"3299","l22.log.admin2_inbound_trip_count.per1M","M_pct",3.7929,1.5571,29,2.4358,0.0212,0.1047,"*",2020-06-22
"3300","l22.log.admin2_inbound_trip_count.per1M","l22.weekend",-0.3268,0.0139,1041,-23.5522,0,-0.2738,"***",2020-06-22
"3301","log.new_cases.per1M","(Intercept)",-2.9312,3.0327,1066,-0.9665,0.334,0,"",2020-06-23
"3302","log.new_cases.per1M","l3.log.admin1_inflow_trip_count.per1M",-0.1125,0.0455,1066,-2.4726,0.0136,-0.101,"*",2020-06-23
"3303","log.new_cases.per1M","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M",-0.1079,0.067,1066,-1.6109,0.1075,-0.1006,"",2020-06-23
"3304","log.new_cases.per1M","l22.log.admin2_inbound_trip_count.per1M",0.4792,0.0532,1066,9.0038,0,0.2405,"***",2020-06-23
"3305","log.new_cases.per1M","l1.log.new_cases.per1M",0.8225,0.0157,1066,52.4784,0,0.8241,"***",2020-06-23
"3306","log.new_cases.per1M","weekend",-0.0479,0.0321,1066,-1.4916,0.1361,-0.0203,"",2020-06-23
"3307","log.new_cases.per1M","rwi",-0.5154,0.4433,5,-1.1626,0.2975,-0.1151,"",2020-06-23
"3308","log.new_cases.per1M","X65p_pct",-6.3563,10.2701,5,-0.6189,0.5631,-0.0462,"",2020-06-23
"3309","log.new_cases.per1M","M_pct",2.2878,5.6707,5,0.4034,0.7033,0.0321,"",2020-06-23
"3310","l3.log.admin1_inflow_trip_count.per1M","(Intercept)",-6.8661,3.564,1050,-1.9265,0.0543,0,"",2020-06-23
"3311","l3.log.admin1_inflow_trip_count.per1M","l4.MA7.log.new_cases.per1M",0.0708,0.0158,1050,4.47,0,0.0527,"***",2020-06-23
"3312","l3.log.admin1_inflow_trip_count.per1M","l4.log.admin1_inflow_trip_count.per1M",0.4346,0.0279,1050,15.602,0,0.434,"***",2020-06-23
"3313","l3.log.admin1_inflow_trip_count.per1M","rwi",-0.7972,0.4031,21,-1.9778,0.0612,-0.1983,"",2020-06-23
"3314","l3.log.admin1_inflow_trip_count.per1M","X65p_pct",-17.1836,12.4706,21,-1.3779,0.1827,-0.1393,"",2020-06-23
"3315","l3.log.admin1_inflow_trip_count.per1M","M_pct",20.9395,6.594,21,3.1755,0.0046,0.3276,"**",2020-06-23
"3316","l3.log.admin1_inflow_trip_count.per1M","l3.weekend",-0.0942,0.0164,1050,-5.7391,0,-0.0447,"***",2020-06-23
"3317","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","(Intercept)",6.6048,1.5813,1050,4.1768,0,0,"***",2020-06-23
"3318","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.MA7.log.new_cases.per1M",0.0516,0.0085,1050,6.0907,0,0.0406,"***",2020-06-23
"3319","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.log.admin1_inbound_admin2_crossbound_trip_count.per1M",0.3768,0.0279,1050,13.4961,0,0.377,"***",2020-06-23
"3320","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","rwi",2.6566,0.212,21,12.5308,0,0.6361,"***",2020-06-23
"3321","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","X65p_pct",0.3224,5.4449,21,0.0592,0.9533,0.0025,"",2020-06-23
"3322","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","M_pct",-8.5062,2.8757,21,-2.9579,0.0075,-0.1281,"**",2020-06-23
"3323","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l16.weekend",-0.0808,0.0126,1050,-6.4259,0,-0.0369,"***",2020-06-23
"3324","l22.log.admin2_inbound_trip_count.per1M","(Intercept)",3.079,0.8048,1041,3.8257,1e-04,0,"***",2020-06-23
"3325","l22.log.admin2_inbound_trip_count.per1M","l23.MA7.log.new_cases.per1M",0.0469,0.0076,1041,6.1625,0,0.0746,"***",2020-06-23
"3326","l22.log.admin2_inbound_trip_count.per1M","l23.log.admin2_inbound_trip_count.per1M",0.3644,0.0231,1041,15.7731,0,0.3694,"***",2020-06-23
"3327","l22.log.admin2_inbound_trip_count.per1M","rwi",1.1244,0.0985,29,11.4203,0,0.5001,"***",2020-06-23
"3328","l22.log.admin2_inbound_trip_count.per1M","X65p_pct",5.037,2.7753,29,1.8149,0.0799,0.073,"",2020-06-23
"3329","l22.log.admin2_inbound_trip_count.per1M","M_pct",3.6024,1.4545,29,2.4767,0.0193,0.1008,"*",2020-06-23
"3330","l22.log.admin2_inbound_trip_count.per1M","l22.weekend",-0.307,0.0131,1041,-23.4241,0,-0.2584,"***",2020-06-23
"3331","log.new_cases.per1M","(Intercept)",-2.4797,3.0636,1066,-0.8094,0.4185,0,"",2020-06-24
"3332","log.new_cases.per1M","l3.log.admin1_inflow_trip_count.per1M",-0.1157,0.046,1066,-2.5163,0.012,-0.1041,"*",2020-06-24
"3333","log.new_cases.per1M","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M",-0.1657,0.0615,1066,-2.6942,0.0072,-0.1554,"**",2020-06-24
"3334","log.new_cases.per1M","l22.log.admin2_inbound_trip_count.per1M",0.4859,0.0533,1066,9.1224,0,0.2444,"***",2020-06-24
"3335","log.new_cases.per1M","l1.log.new_cases.per1M",0.817,0.0158,1066,51.7977,0,0.8185,"***",2020-06-24
"3336","log.new_cases.per1M","weekend",-0.045,0.0322,1066,-1.3988,0.1622,-0.0191,"",2020-06-24
"3337","log.new_cases.per1M","rwi",-0.2842,0.4334,5,-0.6558,0.5409,-0.0636,"",2020-06-24
"3338","log.new_cases.per1M","X65p_pct",-6.1839,10.4336,5,-0.5927,0.5792,-0.0451,"",2020-06-24
"3339","log.new_cases.per1M","M_pct",1.8039,5.7418,5,0.3142,0.7661,0.0254,"",2020-06-24
"3340","l3.log.admin1_inflow_trip_count.per1M","(Intercept)",-6.8365,3.5428,1050,-1.9297,0.0539,0,"",2020-06-24
"3341","l3.log.admin1_inflow_trip_count.per1M","l4.MA7.log.new_cases.per1M",0.0629,0.0166,1050,3.7905,2e-04,0.0466,"***",2020-06-24
"3342","l3.log.admin1_inflow_trip_count.per1M","l4.log.admin1_inflow_trip_count.per1M",0.437,0.0279,1050,15.642,0,0.4368,"***",2020-06-24
"3343","l3.log.admin1_inflow_trip_count.per1M","rwi",-0.7894,0.4007,21,-1.9704,0.0621,-0.1963,"",2020-06-24
"3344","l3.log.admin1_inflow_trip_count.per1M","X65p_pct",-17.222,12.3953,21,-1.3894,0.1793,-0.1395,"",2020-06-24
"3345","l3.log.admin1_inflow_trip_count.per1M","M_pct",20.9205,6.5556,21,3.1913,0.0044,0.3271,"**",2020-06-24
"3346","l3.log.admin1_inflow_trip_count.per1M","l3.weekend",-0.0874,0.0166,1050,-5.2709,0,-0.0415,"***",2020-06-24
"3347","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","(Intercept)",5.8803,1.3738,1050,4.2805,0,0,"***",2020-06-24
"3348","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.MA7.log.new_cases.per1M",0.042,0.0099,1050,4.2548,0,0.0325,"***",2020-06-24
"3349","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.log.admin1_inbound_admin2_crossbound_trip_count.per1M",0.4434,0.0312,1050,14.2196,0,0.4418,"***",2020-06-24
"3350","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","rwi",2.3618,0.2008,21,11.7634,0,0.5634,"***",2020-06-24
"3351","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","X65p_pct",0.2564,4.6749,21,0.0548,0.9568,0.002,"",2020-06-24
"3352","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","M_pct",-7.5749,2.483,21,-3.0507,0.0061,-0.1136,"**",2020-06-24
"3353","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l16.weekend",-0.0703,0.0146,1050,-4.8219,0,-0.0317,"***",2020-06-24
"3354","l22.log.admin2_inbound_trip_count.per1M","(Intercept)",2.9763,0.849,1050,3.5057,5e-04,0,"***",2020-06-24
"3355","l22.log.admin2_inbound_trip_count.per1M","l23.MA7.log.new_cases.per1M",0.0477,0.0076,1050,6.2847,0,0.075,"***",2020-06-24
"3356","l22.log.admin2_inbound_trip_count.per1M","l23.log.admin2_inbound_trip_count.per1M",0.3609,0.023,1050,15.7077,0,0.3608,"***",2020-06-24
"3357","l22.log.admin2_inbound_trip_count.per1M","rwi",1.1405,0.1035,21,11.0173,0,0.5072,"***",2020-06-24
"3358","l22.log.admin2_inbound_trip_count.per1M","X65p_pct",5.2,2.954,21,1.7603,0.0929,0.0753,"",2020-06-24
"3359","l22.log.admin2_inbound_trip_count.per1M","M_pct",3.6025,1.5485,21,2.3265,0.0301,0.1007,"*",2020-06-24
"3360","l22.log.admin2_inbound_trip_count.per1M","l22.weekend",-0.3057,0.0131,1050,-23.38,0,-0.2573,"***",2020-06-24
"3361","log.new_cases.per1M","(Intercept)",-2.5378,3.0966,1066,-0.8196,0.4126,0,"",2020-06-25
"3362","log.new_cases.per1M","l3.log.admin1_inflow_trip_count.per1M",-0.1162,0.0464,1066,-2.5044,0.0124,-0.1047,"*",2020-06-25
"3363","log.new_cases.per1M","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M",-0.1628,0.0614,1066,-2.652,0.0081,-0.1529,"**",2020-06-25
"3364","log.new_cases.per1M","l22.log.admin2_inbound_trip_count.per1M",0.4908,0.0533,1066,9.2113,0,0.2471,"***",2020-06-25
"3365","log.new_cases.per1M","l1.log.new_cases.per1M",0.8162,0.0159,1066,51.413,0,0.8171,"***",2020-06-25
"3366","log.new_cases.per1M","weekend",-0.0408,0.0321,1066,-1.2699,0.2044,-0.0173,"",2020-06-25
"3367","log.new_cases.per1M","rwi",-0.3137,0.4361,5,-0.7195,0.5041,-0.0702,"",2020-06-25
"3368","log.new_cases.per1M","X65p_pct",-6.2895,10.5553,5,-0.5959,0.5772,-0.0459,"",2020-06-25
"3369","log.new_cases.per1M","M_pct",1.834,5.8063,5,0.3159,0.7649,0.0258,"",2020-06-25
"3370","l3.log.admin1_inflow_trip_count.per1M","(Intercept)",-6.8495,3.5695,1050,-1.9189,0.0553,0,"",2020-06-25
"3371","l3.log.admin1_inflow_trip_count.per1M","l4.MA7.log.new_cases.per1M",0.0632,0.0172,1050,3.6848,2e-04,0.0468,"***",2020-06-25
"3372","l3.log.admin1_inflow_trip_count.per1M","l4.log.admin1_inflow_trip_count.per1M",0.4342,0.0279,1050,15.5433,0,0.434,"***",2020-06-25
"3373","l3.log.admin1_inflow_trip_count.per1M","rwi",-0.7943,0.4037,21,-1.9678,0.0624,-0.1974,"",2020-06-25
"3374","l3.log.admin1_inflow_trip_count.per1M","X65p_pct",-17.3831,12.4895,21,-1.3918,0.1785,-0.1407,"",2020-06-25
"3375","l3.log.admin1_inflow_trip_count.per1M","M_pct",20.9881,6.6046,21,3.1778,0.0045,0.328,"**",2020-06-25
"3376","l3.log.admin1_inflow_trip_count.per1M","l3.weekend",-0.0868,0.0169,1050,-5.1241,0,-0.0408,"***",2020-06-25
"3377","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","(Intercept)",7.0381,1.6211,1050,4.3415,0,0,"***",2020-06-25
"3378","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.MA7.log.new_cases.per1M",0.0469,0.0103,1050,4.5454,0,0.036,"***",2020-06-25
"3379","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.log.admin1_inbound_admin2_crossbound_trip_count.per1M",0.3389,0.0289,1050,11.7293,0,0.3388,"***",2020-06-25
"3380","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","rwi",2.8166,0.2178,21,12.932,0,0.6717,"***",2020-06-25
"3381","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","X65p_pct",0.1056,5.583,21,0.0189,0.9851,8e-04,"",2020-06-25
"3382","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","M_pct",-9.0431,2.9483,21,-3.0673,0.0058,-0.1356,"**",2020-06-25
"3383","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l16.weekend",-0.0694,0.0149,1050,-4.669,0,-0.0313,"***",2020-06-25
"3384","l22.log.admin2_inbound_trip_count.per1M","(Intercept)",2.9661,0.8337,1050,3.5578,4e-04,0,"***",2020-06-25
"3385","l22.log.admin2_inbound_trip_count.per1M","l23.MA7.log.new_cases.per1M",0.0371,0.0077,1050,4.8389,0,0.0576,"***",2020-06-25
"3386","l22.log.admin2_inbound_trip_count.per1M","l23.log.admin2_inbound_trip_count.per1M",0.3694,0.0226,1050,16.3517,0,0.3694,"***",2020-06-25
"3387","l22.log.admin2_inbound_trip_count.per1M","rwi",1.1268,0.1016,21,11.086,0,0.5011,"***",2020-06-25
"3388","l22.log.admin2_inbound_trip_count.per1M","X65p_pct",5.0597,2.9004,21,1.7445,0.0957,0.0733,"",2020-06-25
"3389","l22.log.admin2_inbound_trip_count.per1M","M_pct",3.5913,1.5203,21,2.3622,0.0279,0.1004,"*",2020-06-25
"3390","l22.log.admin2_inbound_trip_count.per1M","l22.weekend",-0.3083,0.0129,1050,-23.969,0,-0.2595,"***",2020-06-25
"3391","log.new_cases.per1M","(Intercept)",-2.49,3.1894,1066,-0.7807,0.4351,0,"",2020-06-26
"3392","log.new_cases.per1M","l3.log.admin1_inflow_trip_count.per1M",-0.1201,0.0467,1066,-2.5729,0.0102,-0.1085,"*",2020-06-26
"3393","log.new_cases.per1M","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M",-0.1662,0.0613,1066,-2.7114,0.0068,-0.1563,"**",2020-06-26
"3394","log.new_cases.per1M","l22.log.admin2_inbound_trip_count.per1M",0.4889,0.0528,1066,9.2675,0,0.247,"***",2020-06-26
"3395","log.new_cases.per1M","l1.log.new_cases.per1M",0.8124,0.016,1066,50.9052,0,0.8134,"***",2020-06-26
"3396","log.new_cases.per1M","weekend",-0.04,0.032,1066,-1.2506,0.2114,-0.017,"",2020-06-26
"3397","log.new_cases.per1M","rwi",-0.3003,0.4445,5,-0.6756,0.5293,-0.0673,"",2020-06-26
"3398","log.new_cases.per1M","X65p_pct",-6.5271,10.8897,5,-0.5994,0.575,-0.0477,"",2020-06-26
"3399","log.new_cases.per1M","M_pct",1.8964,5.9757,5,0.3174,0.7638,0.0267,"",2020-06-26
"3400","l3.log.admin1_inflow_trip_count.per1M","(Intercept)",-6.8859,3.5793,1050,-1.9238,0.0547,0,"",2020-06-26
