"","Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate","","date_2"
"292","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","M_pct",-6.9733,2.431,29,-2.8684,0.0076,-0.0675,"**",2020-03-14
"293","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l16.weekend",-0.2421,0.0202,1041,-12.0075,0,-0.0706,"***",2020-03-14
"294","l22.log.admin2_inbound_trip_count.per1M","(Intercept)",3.087,1.0908,1041,2.83,0.0047,0,"**",2020-03-14
"295","l22.log.admin2_inbound_trip_count.per1M","l23.MA7.log.new_cases.per1M",-0.1614,0.0281,1041,-5.7521,0,-0.1411,"***",2020-03-14
"296","l22.log.admin2_inbound_trip_count.per1M","l23.log.admin2_inbound_trip_count.per1M",0.2382,0.0268,1041,8.8883,0,0.2394,"***",2020-03-14
"297","l22.log.admin2_inbound_trip_count.per1M","rwi",1.4363,0.1252,29,11.4719,0,0.3173,"***",2020-03-14
"298","l22.log.admin2_inbound_trip_count.per1M","X65p_pct",8.7531,3.567,29,2.4539,0.0204,0.063,"*",2020-03-14
"299","l22.log.admin2_inbound_trip_count.per1M","M_pct",5.2785,1.8732,29,2.8179,0.0086,0.0733,"**",2020-03-14
"300","l22.log.admin2_inbound_trip_count.per1M","l22.weekend",-0.3088,0.0195,1041,-15.8712,0,-0.1291,"***",2020-03-14
"301","log.new_cases.per1M","(Intercept)",-0.1528,0.7339,1066,-0.2083,0.8351,0,"",2020-03-15
"302","log.new_cases.per1M","l3.log.admin1_inflow_trip_count.per1M",0.0132,0.0127,1066,1.0411,0.2981,0.011,"",2020-03-15
"303","log.new_cases.per1M","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M",0.0197,0.0206,1066,0.9519,0.3413,0.017,"",2020-03-15
"304","log.new_cases.per1M","l22.log.admin2_inbound_trip_count.per1M",-0.011,0.0246,1066,-0.4482,0.6541,-0.0066,"",2020-03-15
"305","log.new_cases.per1M","l1.log.new_cases.per1M",0.9557,0.01,1066,95.9217,0,0.9466,"***",2020-03-15
"306","log.new_cases.per1M","weekend",0.0243,0.0346,1066,0.7018,0.4829,0.0062,"",2020-03-15
"307","log.new_cases.per1M","rwi",0.0885,0.1042,5,0.8489,0.4347,0.0118,"",2020-03-15
"308","log.new_cases.per1M","X65p_pct",3.5441,2.5469,5,1.3915,0.2228,0.0154,"",2020-03-15
"309","log.new_cases.per1M","M_pct",-0.0188,1.4389,5,-0.0131,0.9901,-2e-04,"",2020-03-15
"310","l3.log.admin1_inflow_trip_count.per1M","(Intercept)",-4.7902,2.2201,1041,-2.1576,0.0312,0,"*",2020-03-15
"311","l3.log.admin1_inflow_trip_count.per1M","l4.MA7.log.new_cases.per1M",-0.006,0.0185,1041,-0.3223,0.7473,-0.0055,"",2020-03-15
"312","l3.log.admin1_inflow_trip_count.per1M","l4.log.admin1_inflow_trip_count.per1M",0.5957,0.0239,1041,24.9411,0,0.5975,"***",2020-03-15
"313","l3.log.admin1_inflow_trip_count.per1M","rwi",-0.53,0.2493,29,-2.1262,0.0421,-0.0853,"*",2020-03-15
"314","l3.log.admin1_inflow_trip_count.per1M","X65p_pct",-10.4936,7.6933,29,-1.364,0.1831,-0.055,"",2020-03-15
"315","l3.log.admin1_inflow_trip_count.per1M","M_pct",14.3421,4.104,29,3.4947,0.0015,0.1452,"**",2020-03-15
"316","l3.log.admin1_inflow_trip_count.per1M","l3.weekend",-0.2111,0.0214,1041,-9.8659,0,-0.0643,"***",2020-03-15
"317","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","(Intercept)",5.5933,1.3831,1041,4.044,1e-04,0,"***",2020-03-15
"318","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.MA7.log.new_cases.per1M",-0.0481,0.0253,1041,-1.9024,0.0574,-0.0336,"",2020-03-15
"319","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.log.admin1_inbound_admin2_crossbound_trip_count.per1M",0.4853,0.0256,1041,18.9449,0,0.487,"***",2020-03-15
"320","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","rwi",2.1412,0.1827,29,11.7172,0,0.3309,"***",2020-03-15
"321","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","X65p_pct",-2.7041,4.6116,29,-0.5864,0.5622,-0.0136,"",2020-03-15
"322","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","M_pct",-7.0306,2.4424,29,-2.8785,0.0074,-0.0683,"**",2020-03-15
"323","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l16.weekend",-0.2402,0.0202,1041,-11.9093,0,-0.0702,"***",2020-03-15
"324","l22.log.admin2_inbound_trip_count.per1M","(Intercept)",3.0994,1.0864,1041,2.8529,0.0044,0,"**",2020-03-15
"325","l22.log.admin2_inbound_trip_count.per1M","l23.MA7.log.new_cases.per1M",-0.1497,0.0277,1041,-5.4135,0,-0.1341,"***",2020-03-15
"326","l22.log.admin2_inbound_trip_count.per1M","l23.log.admin2_inbound_trip_count.per1M",0.2392,0.0268,1041,8.9217,0,0.2407,"***",2020-03-15
"327","l22.log.admin2_inbound_trip_count.per1M","rwi",1.434,0.1248,29,11.4931,0,0.3187,"***",2020-03-15
"328","l22.log.admin2_inbound_trip_count.per1M","X65p_pct",8.7411,3.5532,29,2.4601,0.0201,0.0633,"*",2020-03-15
"329","l22.log.admin2_inbound_trip_count.per1M","M_pct",5.2086,1.8657,29,2.7918,0.0092,0.0728,"**",2020-03-15
"330","l22.log.admin2_inbound_trip_count.per1M","l22.weekend",-0.3006,0.0193,1041,-15.5898,0,-0.1275,"***",2020-03-15
"331","log.new_cases.per1M","(Intercept)",-0.1553,0.734,1066,-0.2116,0.8325,0,"",2020-03-16
"332","log.new_cases.per1M","l3.log.admin1_inflow_trip_count.per1M",0.0145,0.0127,1066,1.1456,0.2522,0.012,"",2020-03-16
"333","log.new_cases.per1M","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M",0.0215,0.0207,1066,1.0414,0.2979,0.0184,"",2020-03-16
"334","log.new_cases.per1M","l22.log.admin2_inbound_trip_count.per1M",-0.0112,0.0246,1066,-0.4558,0.6486,-0.0066,"",2020-03-16
"335","log.new_cases.per1M","l1.log.new_cases.per1M",0.9546,0.0099,1066,96.1215,0,0.9464,"***",2020-03-16
"336","log.new_cases.per1M","weekend",0.0288,0.0349,1066,0.8261,0.4089,0.0072,"",2020-03-16
