"","Response","family","link","method","Marginal","Conditional","date_2"
"127","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.64,0.95,2020-04-05
"128","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.35,0.93,2020-04-05
"129","log.new_cases.per1M","gaussian","identity","none",0.93,0.93,2020-04-06
"130","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.62,0.95,2020-04-06
"131","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.63,0.95,2020-04-06
"132","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.34,0.93,2020-04-06
"133","log.new_cases.per1M","gaussian","identity","none",0.93,0.93,2020-04-07
"134","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.61,0.95,2020-04-07
"135","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.63,0.95,2020-04-07
"136","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.33,0.94,2020-04-07
"137","log.new_cases.per1M","gaussian","identity","none",0.93,0.93,2020-04-08
"138","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.62,0.95,2020-04-08
"139","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.63,0.96,2020-04-08
"140","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.34,0.94,2020-04-08
"141","log.new_cases.per1M","gaussian","identity","none",0.93,0.93,2020-04-09
"142","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.62,0.95,2020-04-09
"143","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.62,0.96,2020-04-09
"144","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.33,0.94,2020-04-09
"145","log.new_cases.per1M","gaussian","identity","none",0.93,0.93,2020-04-10
"146","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.64,0.95,2020-04-10
"147","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.58,0.97,2020-04-10
"148","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.33,0.94,2020-04-10
"149","log.new_cases.per1M","gaussian","identity","none",0.93,0.93,2020-04-11
"150","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.64,0.95,2020-04-11
"151","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.59,0.97,2020-04-11
"152","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.33,0.94,2020-04-11
"153","log.new_cases.per1M","gaussian","identity","none",0.93,0.93,2020-04-12
"154","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.65,0.95,2020-04-12
"155","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.5,0.97,2020-04-12
"156","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.34,0.94,2020-04-12
"157","log.new_cases.per1M","gaussian","identity","none",0.93,0.93,2020-04-13
"158","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.66,0.95,2020-04-13
"159","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.54,0.97,2020-04-13
"160","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.33,0.94,2020-04-13
"161","log.new_cases.per1M","gaussian","identity","none",0.93,0.93,2020-04-14
"162","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.68,0.95,2020-04-14
"163","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.53,0.97,2020-04-14
