"","X.Intercept.","date_2","sub_model","lockdown_level","se"
"465",0.438017822900001,2020-05-09,"model_4","4",0.0221619691663218
"565",-0.87029164750297,2020-05-09,"model_4","5",0.0221619691663218
"366",0.430743054606217,2020-05-10,"model_4","3",0.0221650049528756
"466",0.436116405667721,2020-05-10,"model_4","4",0.0221650049528756
"566",-0.866859460273948,2020-05-10,"model_4","5",0.0221650049528756
"367",0.428295391981611,2020-05-11,"model_4","3",0.0218950887431919
"467",0.435412048007217,2020-05-11,"model_4","4",0.0218950887431919
"567",-0.863707439988829,2020-05-11,"model_4","5",0.0218950887431919
"368",0.429083333015408,2020-05-12,"model_4","3",0.0218824080097747
"468",0.435289569358932,2020-05-12,"model_4","4",0.0218824080097747
"568",-0.864372902374348,2020-05-12,"model_4","5",0.0218824080097747
"369",0.429143859285442,2020-05-13,"model_4","3",0.0219954120019608
"469",0.434847462819589,2020-05-13,"model_4","4",0.0219954120019608
"569",-0.863991322105029,2020-05-13,"model_4","5",0.0219954120019608
"2",0.374694061834801,2020-05-14,"model_4","2",0.0239481464114727
"370",0.300917340458974,2020-05-14,"model_4","3",0.0239481464114727
"470",0.307209218775345,2020-05-14,"model_4","4",0.0239481464114727
"570",-0.982820621069135,2020-05-14,"model_4","5",0.0239481464114727
"21",0.241298571633786,2020-05-15,"model_4","2",0.0238178614724608
"371",0.343688555406031,2020-05-15,"model_4","3",0.0238178614724608
"471",0.346846004964559,2020-05-15,"model_4","4",0.0238178614724608
"571",-0.931833132004386,2020-05-15,"model_4","5",0.0238178614724608
"22",0.0911201432524476,2020-05-16,"model_4","2",0.0231797829503859
"372",0.381603982514306,2020-05-16,"model_4","3",0.0231797829503859
"472",0.380924984488643,2020-05-16,"model_4","4",0.0231797829503859
"572",-0.853649110255408,2020-05-16,"model_4","5",0.0231797829503859
"23",0.199343865334434,2020-05-17,"model_4","2",0.0244618188833196
"373",0.357625305414017,2020-05-17,"model_4","3",0.0244618188833196
"473",0.353814689710919,2020-05-17,"model_4","4",0.0244618188833196
"573",-0.910783860459359,2020-05-17,"model_4","5",0.0244618188833196
"24",0.216943216821591,2020-05-18,"model_4","2",0.0245900589914502
"374",0.357630627871716,2020-05-18,"model_4","3",0.0245900589914502
"474",0.353888065330477,2020-05-18,"model_4","4",0.0245900589914502
"574",-0.92846191002378,2020-05-18,"model_4","5",0.0245900589914502
"25",0.217830297312492,2020-05-19,"model_4","2",0.024317932167463
"375",0.356203079536077,2020-05-19,"model_4","3",0.024317932167463
"475",0.351909799775705,2020-05-19,"model_4","4",0.024317932167463
"575",-0.925943176624257,2020-05-19,"model_4","5",0.024317932167463
"26",0.2329289383355,2020-05-20,"model_4","2",0.0240251196882208
"376",0.33826371487246,2020-05-20,"model_4","3",0.0240251196882208
"476",0.329567897019924,2020-05-20,"model_4","4",0.0240251196882208
"576",-0.900760550227891,2020-05-20,"model_4","5",0.0240251196882208
"27",0.239370700018855,2020-05-21,"model_4","2",0.0232798336042235
"377",0.328063825295627,2020-05-21,"model_4","3",0.0232798336042235
"477",0.317259072137019,2020-05-21,"model_4","4",0.0232798336042235
"577",-0.884693597451494,2020-05-21,"model_4","5",0.0232798336042235
"28",0.24198459458015,2020-05-22,"model_4","2",0.0224275042750711
"378",0.310445392754676,2020-05-22,"model_4","3",0.0224275042750711
"478",0.299194693570814,2020-05-22,"model_4","4",0.0224275042750711
"578",-0.851624680905636,2020-05-22,"model_4","5",0.0224275042750711
"29",0.19934693473953,2020-05-23,"model_4","2",0.0217400394357278
"379",0.251505422348161,2020-05-23,"model_4","3",0.0217400394357278
"479",0.240756432738799,2020-05-23,"model_4","4",0.0217400394357278
"579",-0.691608789826484,2020-05-23,"model_4","5",0.0217400394357278
"210",-3.27828934478325e-09,2020-05-24,"model_4","2",0.0187548426398592
"380",2.96763803103891e-09,2020-05-24,"model_4","3",0.0187548426398592
"480",3.10651314482368e-10,2020-05-24,"model_4","4",0.0187548426398592
"211",-5.28824605260263e-09,2020-05-25,"model_4","2",0.0176486083758465
"381",4.28552551396845e-09,2020-05-25,"model_4","3",0.0176486083758465
"481",1.00272053875113e-09,2020-05-25,"model_4","4",0.0176486083758465
"212",-3.40934258082527e-09,2020-05-26,"model_4","2",0.0177334206626922
"382",2.90893362653857e-09,2020-05-26,"model_4","3",0.0177334206626922
"482",5.00408954408069e-10,2020-05-26,"model_4","4",0.0177334206626922
"213",-3.94055953168981e-09,2020-05-27,"model_4","2",0.0177908160022243
"383",3.23410666487416e-09,2020-05-27,"model_4","3",0.0177908160022243
"483",7.06452866729737e-10,2020-05-27,"model_4","4",0.0177908160022243
"214",-3.25911806893194e-09,2020-05-28,"model_4","2",0.0177241235663713
"384",2.8000213705048e-09,2020-05-28,"model_4","3",0.0177241235663713
"484",4.59096698615242e-10,2020-05-28,"model_4","4",0.0177241235663713
"215",-2.24375575260494e-09,2020-05-29,"model_4","2",0.0176579529063323
"385",2.21709706146206e-09,2020-05-29,"model_4","3",0.0176579529063323
"485",2.66586906566574e-11,2020-05-29,"model_4","4",0.0176579529063323
"216",-3.39049703977286e-09,2020-05-30,"model_4","2",0.0176101867022755
"386",3.43557169637829e-09,2020-05-30,"model_4","3",0.0176101867022755
"486",-4.50746559954637e-11,2020-05-30,"model_4","4",0.0176101867022755
"217",-1.25531261075215e-09,2020-05-31,"model_4","2",0.0175262598531746
"387",1.69025625389987e-09,2020-05-31,"model_4","3",0.0175262598531746
"487",-4.34943643183678e-10,2020-05-31,"model_4","4",0.0175262598531746
"218",-9.39108308937737e-09,2020-06-01,"model_4","2",0.017642378688856
"388",7.20563189638565e-09,2020-06-01,"model_4","3",0.017642378688856
"488",2.18545119309646e-09,2020-06-01,"model_4","4",0.017642378688856
"219",-2.47860325287438e-08,2020-06-02,"model_4","2",0.0170398655306982
"389",1.50320153373347e-08,2020-06-02,"model_4","3",0.0170398655306982
"489",9.75401719131018e-09,2020-06-02,"model_4","4",0.0170398655306982
"220",-0.0020999167480462,2020-06-03,"model_4","2",0.016795547610823
"390",0.00118230786195985,2020-06-03,"model_4","3",0.016795547610823
"490",0.000917608886085643,2020-06-03,"model_4","4",0.016795547610823
"221",-0.0216670919883346,2020-06-04,"model_4","2",0.0165294182286374
"391",0.0102147839113475,2020-06-04,"model_4","3",0.0165294182286374
"491",0.0114523080769885,2020-06-04,"model_4","4",0.0165294182286374
"222",-0.0322568136375336,2020-06-05,"model_4","2",0.0162461619506443
"392",0.015072073329984,2020-06-05,"model_4","3",0.0162461619506443
"492",0.0171847403075497,2020-06-05,"model_4","4",0.0162461619506443
"223",-0.0432081999378938,2020-06-06,"model_4","2",0.0159797163406927
